datetime,machineID,comp,fail_flag,next_replace_time,time_between_maintenance,model,age
2014-06-01T06:00:00.000000,1,comp2,1,2015-04-20T06:00:00.000000,323,model3,18
2014-07-16T06:00:00.000000,1,comp4,1,2015-01-05T06:00:00.000000,173,model3,18
2014-07-31T06:00:00.000000,1,comp3,0,2015-01-20T06:00:00.000000,173,model3,18
2014-12-13T06:00:00.000000,1,comp1,0,2015-01-05T06:00:00.000000,23,model3,18
2015-01-05T06:00:00.000000,1,comp4,0,2015-02-04T06:00:00.000000,30,model3,18
2015-01-05T06:00:00.000000,1,comp1,0,2015-01-20T06:00:00.000000,15,model3,18
2015-01-20T06:00:00.000000,1,comp3,0,2015-02-04T06:00:00.000000,15,model3,18
2015-01-20T06:00:00.000000,1,comp1,1,2015-03-06T06:00:00.000000,45,model3,18
2015-02-04T06:00:00.000000,1,comp4,1,2015-06-19T06:00:00.000000,135,model3,18
2015-02-04T06:00:00.000000,1,comp3,0,2015-02-19T06:00:00.000000,15,model3,18
2015-02-19T06:00:00.000000,1,comp3,0,2015-04-05T06:00:00.000000,45,model3,18
2015-03-06T06:00:00.000000,1,comp1,0,2015-03-21T06:00:00.000000,15,model3,18
2015-03-21T06:00:00.000000,1,comp1,0,2015-06-19T06:00:00.000000,90,model3,18
2015-04-05T06:00:00.000000,1,comp3,0,2015-05-05T06:00:00.000000,30,model3,18
2015-04-20T06:00:00.000000,1,comp2,0,2015-05-05T06:00:00.000000,15,model3,18
2015-05-05T06:00:00.000000,1,comp3,0,2015-06-04T06:00:00.000000,30,model3,18
2015-05-05T06:00:00.000000,1,comp2,0,2015-05-20T06:00:00.000000,15,model3,18
2015-05-20T06:00:00.000000,1,comp2,0,2015-07-04T06:00:00.000000,45,model3,18
2015-06-04T06:00:00.000000,1,comp3,0,2015-12-01T06:00:00.000000,180,model3,18
2015-06-19T06:00:00.000000,1,comp1,0,2015-07-19T06:00:00.000000,30,model3,18
2015-06-19T06:00:00.000000,1,comp4,1,2015-09-02T06:00:00.000000,75,model3,18
2015-07-04T06:00:00.000000,1,comp2,0,2015-09-17T06:00:00.000000,75,model3,18
2015-07-19T06:00:00.000000,1,comp1,0,2015-08-03T06:00:00.000000,15,model3,18
2015-08-03T06:00:00.000000,1,comp1,0,2015-09-02T06:00:00.000000,30,model3,18
2015-09-02T06:00:00.000000,1,comp1,0,2015-10-02T06:00:00.000000,30,model3,18
2015-09-02T06:00:00.000000,1,comp4,0,2015-10-02T06:00:00.000000,30,model3,18
2015-09-17T06:00:00.000000,1,comp2,1,2015-10-17T06:00:00.000000,30,model3,18
2015-10-02T06:00:00.000000,1,comp4,0,2015-10-17T06:00:00.000000,15,model3,18
2015-10-02T06:00:00.000000,1,comp1,0,2015-12-31T06:00:00.000000,90,model3,18
2015-10-17T06:00:00.000000,1,comp4,0,2015-11-01T06:00:00.000000,15,model3,18
2015-10-17T06:00:00.000000,1,comp2,0,2015-11-01T06:00:00.000000,15,model3,18
2015-11-01T06:00:00.000000,1,comp4,1,2015-12-16T06:00:00.000000,45,model3,18
2015-11-01T06:00:00.000000,1,comp2,0,2015-11-16T06:00:00.000000,15,model3,18
2014-06-16T06:00:00.000000,2,comp1,1,2015-03-19T06:00:00.000000,276,model4,7
2014-07-16T06:00:00.000000,2,comp3,0,2015-02-02T06:00:00.000000,201,model4,7
2014-08-15T06:00:00.000000,2,comp2,1,2015-03-19T06:00:00.000000,216,model4,7
2014-11-28T06:00:00.000000,2,comp4,0,2015-01-18T06:00:00.000000,51,model4,7
2015-01-18T06:00:00.000000,2,comp4,0,2015-03-04T06:00:00.000000,45,model4,7
2015-02-02T06:00:00.000000,2,comp3,0,2015-02-17T06:00:00.000000,15,model4,7
2015-02-17T06:00:00.000000,2,comp3,0,2015-04-03T06:00:00.000000,45,model4,7
2015-03-04T06:00:00.000000,2,comp4,0,2015-05-18T06:00:00.000000,75,model4,7
2015-03-19T06:00:00.000000,2,comp2,1,2015-04-18T06:00:00.000000,30,model4,7
2015-03-19T06:00:00.000000,2,comp1,0,2015-07-17T06:00:00.000000,120,model4,7
2015-04-03T06:00:00.000000,2,comp3,0,2015-06-02T06:00:00.000000,60,model4,7
2015-04-18T06:00:00.000000,2,comp2,0,2015-05-03T06:00:00.000000,15,model4,7
2015-05-03T06:00:00.000000,2,comp2,0,2015-06-17T06:00:00.000000,45,model4,7
2015-05-18T06:00:00.000000,2,comp4,0,2015-06-17T06:00:00.000000,30,model4,7
2015-06-02T06:00:00.000000,2,comp3,0,2015-11-29T06:00:00.000000,180,model4,7
2015-06-17T06:00:00.000000,2,comp2,0,2015-07-02T06:00:00.000000,15,model4,7
2015-06-17T06:00:00.000000,2,comp4,0,2015-07-17T06:00:00.000000,30,model4,7
2015-07-02T06:00:00.000000,2,comp2,0,2015-08-16T06:00:00.000000,45,model4,7
2015-07-17T06:00:00.000000,2,comp4,0,2015-08-01T06:00:00.000000,15,model4,7
2015-07-17T06:00:00.000000,2,comp1,0,2015-10-30T06:00:00.000000,105,model4,7
2015-08-01T06:00:00.000000,2,comp4,0,2015-08-31T06:00:00.000000,30,model4,7
2015-08-16T06:00:00.000000,2,comp2,0,2015-08-31T06:00:00.000000,15,model4,7
2015-08-31T06:00:00.000000,2,comp2,1,2015-12-29T06:00:00.000000,120,model4,7
2015-08-31T06:00:00.000000,2,comp4,0,2015-10-15T06:00:00.000000,45,model4,7
2015-10-15T06:00:00.000000,2,comp4,0,2015-10-30T06:00:00.000000,15,model4,7
2015-10-30T06:00:00.000000,2,comp1,0,2015-11-14T06:00:00.000000,15,model4,7
2015-11-14T06:00:00.000000,2,comp1,0,2015-11-29T06:00:00.000000,15,model4,7
2015-11-29T06:00:00.000000,2,comp1,0,2015-12-14T06:00:00.000000,15,model4,7
2014-06-16T06:00:00.000000,3,comp3,0,2015-02-21T06:00:00.000000,250,model3,8
2014-07-01T06:00:00.000000,3,comp4,0,2015-01-22T06:00:00.000000,205,model3,8
2014-08-15T06:00:00.000000,3,comp1,1,2015-02-06T06:00:00.000000,175,model3,8
2014-11-28T06:00:00.000000,3,comp2,1,2015-01-07T06:00:00.000000,40,model3,8
2015-01-07T06:00:00.000000,3,comp2,0,2015-03-08T06:00:00.000000,60,model3,8
2015-01-22T06:00:00.000000,3,comp4,0,2015-05-07T06:00:00.000000,105,model3,8
2015-02-06T06:00:00.000000,3,comp1,0,2015-02-21T06:00:00.000000,15,model3,8
2015-02-21T06:00:00.000000,3,comp1,0,2015-03-23T06:00:00.000000,30,model3,8
2015-02-21T06:00:00.000000,3,comp3,0,2015-03-08T06:00:00.000000,15,model3,8
2015-03-08T06:00:00.000000,3,comp3,0,2015-04-22T06:00:00.000000,45,model3,8
2015-03-08T06:00:00.000000,3,comp2,0,2015-04-07T06:00:00.000000,30,model3,8
2015-03-23T06:00:00.000000,3,comp1,0,2015-08-20T06:00:00.000000,150,model3,8
2015-04-07T06:00:00.000000,3,comp2,0,2015-05-22T06:00:00.000000,45,model3,8
2015-04-22T06:00:00.000000,3,comp3,0,2015-06-21T06:00:00.000000,60,model3,8
2015-05-07T06:00:00.000000,3,comp4,0,2015-06-06T06:00:00.000000,30,model3,8
2015-05-22T06:00:00.000000,3,comp2,1,2015-07-21T06:00:00.000000,60,model3,8
2015-06-06T06:00:00.000000,3,comp4,0,2015-06-21T06:00:00.000000,15,model3,8
2015-06-21T06:00:00.000000,3,comp3,0,2015-07-06T06:00:00.000000,15,model3,8
2015-06-21T06:00:00.000000,3,comp4,0,2015-07-06T06:00:00.000000,15,model3,8
2015-07-06T06:00:00.000000,3,comp3,0,2015-09-19T06:00:00.000000,75,model3,8
2015-07-06T06:00:00.000000,3,comp4,0,2015-09-04T06:00:00.000000,60,model3,8
2015-07-21T06:00:00.000000,3,comp2,0,2015-08-05T06:00:00.000000,15,model3,8
2015-08-05T06:00:00.000000,3,comp2,1,2015-10-04T06:00:00.000000,60,model3,8
2015-08-20T06:00:00.000000,3,comp1,0,2015-09-04T06:00:00.000000,15,model3,8
2015-09-04T06:00:00.000000,3,comp4,0,2015-10-19T06:00:00.000000,45,model3,8
2015-09-04T06:00:00.000000,3,comp1,0,2015-09-19T06:00:00.000000,15,model3,8
2015-09-19T06:00:00.000000,3,comp1,0,2015-11-03T06:00:00.000000,45,model3,8
2015-10-04T06:00:00.000000,3,comp2,0,2015-10-19T06:00:00.000000,15,model3,8
2015-10-19T06:00:00.000000,3,comp4,0,2015-11-18T06:00:00.000000,30,model3,8
2015-10-19T06:00:00.000000,3,comp2,0,2015-11-03T06:00:00.000000,15,model3,8
2015-11-03T06:00:00.000000,3,comp2,1,2015-12-03T06:00:00.000000,30,model3,8
2015-11-03T06:00:00.000000,3,comp1,0,2015-11-18T06:00:00.000000,15,model3,8
2015-12-03T06:00:00.000000,3,comp2,0,2015-12-18T06:00:00.000000,15,model3,8
2014-06-16T06:00:00.000000,4,comp2,1,2015-01-17T06:00:00.000000,215,model3,7
2014-07-31T06:00:00.000000,4,comp1,1,2015-02-16T06:00:00.000000,200,model3,7
2014-11-13T06:00:00.000000,4,comp3,0,2015-03-18T06:00:00.000000,125,model3,7
2014-12-13T06:00:00.000000,4,comp4,0,2015-04-02T06:00:00.000000,110,model3,7
2015-01-17T06:00:00.000000,4,comp2,1,2015-04-02T06:00:00.000000,75,model3,7
2015-02-16T06:00:00.000000,4,comp1,0,2015-03-03T06:00:00.000000,15,model3,7
2015-03-03T06:00:00.000000,4,comp1,0,2015-03-18T06:00:00.000000,15,model3,7
2015-03-18T06:00:00.000000,4,comp1,0,2015-07-01T06:00:00.000000,105,model3,7
2015-03-18T06:00:00.000000,4,comp3,0,2015-04-17T06:00:00.000000,30,model3,7
2015-04-02T06:00:00.000000,4,comp2,1,2015-07-16T06:00:00.000000,105,model3,7
2015-04-02T06:00:00.000000,4,comp4,0,2015-05-02T06:00:00.000000,30,model3,7
2015-04-17T06:00:00.000000,4,comp3,0,2015-05-17T06:00:00.000000,30,model3,7
2015-05-02T06:00:00.000000,4,comp4,0,2015-06-01T06:00:00.000000,30,model3,7
2015-05-17T06:00:00.000000,4,comp3,0,2015-09-14T06:00:00.000000,120,model3,7
2015-06-01T06:00:00.000000,4,comp4,0,2015-06-16T06:00:00.000000,15,model3,7
2015-06-16T06:00:00.000000,4,comp4,0,2015-07-31T06:00:00.000000,45,model3,7
2015-07-01T06:00:00.000000,4,comp1,1,2015-08-30T06:00:00.000000,60,model3,7
2015-07-16T06:00:00.000000,4,comp2,1,2015-10-14T06:00:00.000000,90,model3,7
2015-07-31T06:00:00.000000,4,comp4,0,2015-09-14T06:00:00.000000,45,model3,7
2015-08-30T06:00:00.000000,4,comp1,0,2015-11-28T06:00:00.000000,90,model3,7
2015-09-14T06:00:00.000000,4,comp4,0,2015-11-13T06:00:00.000000,60,model3,7
